name,year,value,code,rate,pop,,
New Hampshire,1996,0.00000323680637262439,33,4,1235786,,
New Jersey,1996,0.00004123907372524320,34,347,8414350,,
New Mexico,1996,0.00002198954836766090,35,40,1819046,,
New York,1996,0.00000042157500738942,36,8,18976457,,
North Carolina,1996,0.00009814502181738990,37,790,8049313,,
North Dakota,1996,0.00033634381812519500,38,216,642200,,
Ohio,1996,0.00000044040679494836,39,5,11353140,,
Oklahoma,1996,0.00005853962756045670,40,202,3450654,,
Oregon,1996,0.00002162857942028980,41,74,3421399,,
Pennsylvania,1996,0.00000008142623589148,42,1,12281054,,
Rhode Island,1996,0.00000000000000000000,44,0,1048319,,
South Carolina,1996,0.00001669985034940080,45,67,4012012,,
South Dakota,1996,0.00005696541272103900,46,43,754844,,
Tennessee,1996,0.00000509730312237939,47,29,5689283,,
Texas,1996,0.00003539259402776350,48,738,20851820,,
Utah,1996,0.00000940367701683124,49,21,2233169,,
Vermont,1996,0.00000000000000000000,50,0,608827,,
Virginia,1996,0.00001469234719429150,51,104,7078515,,
Washington,1996,0.00000797404736007286,53,47,5894121,,
West Virginia,1996,0.00011225740235265000,54,203,1808344,,
Wisconsin,1996,0.00001416938945778780,55,76,5363675,,
Wyoming,1996,0.00000810074081274732,56,4,493782,,
Alabama,1997,0.00029299993254030700,1,1303,4447100,,
Arizona,1997,0.00003332922727648370,4,171,5130632,,
Arkansas,1997,0.00018328719982045300,5,490,2673400,,
California,1997,0.00002249669103788510,6,762,33871648,,
Colorado,1997,0.00000395232932853877,8,17,4301261,,
Connecticut,1997,0.00000411091845259157,9,14,3405565,,
Delaware,1997,0.00000510464522715671,10,4,783600,,
District of Columbia,1997,0.00000000000000000000,11,0,572059,,
Florida,1997,0.00000694514921371526,12,111,15982378,,
Georgia,1997,0.00016429581895846700,13,1345,8186453,,
Idaho,1997,0.00001081955836108420,16,14,1293953,,
Illinois,1997,0.00000016103976289150,17,2,12419293,,
Indiana,1997,0.00000032892113046903,18,2,6080485,,
Iowa,1997,0.00000000000000000000,19,0,2926324,,
Kansas,1997,0.00000000000000000000,20,0,2688418,,
Kentucky,1997,0.00009698723504485290,21,392,4041769,,
Louisiana,1997,0.00007719889299025100,22,345,4468976,,
Maine,1997,0.00000156872218949693,23,2,1274923,,
Maryland,1997,0.00000264326196651893,24,14,5296486,,
Massachusetts,1997,0.00000000000000000000,25,0,6349097,,
Michigan,1997,0.00000100619372610038,26,10,9938444,,
Minnesota,1997,0.00010204332613270600,27,502,4919479,,
Mississippi,1997,0.00054101406917808700,28,1539,2844658,,
Missouri,1997,0.00005844283620403230,29,327,5595211,,
Montana,1997,0.00002105974872394550,30,19,902195,,
Nebraska,1997,0.00000000000000000000,31,0,1711263,,
Nevada,1997,0.00000350305291061160,32,7,1998257,,
New Hampshire,1997,0.00000323680637262439,33,4,1235786,,
New Jersey,1997,0.00006084843154848560,34,512,8414350,,
New Mexico,1997,0.00002198954836766090,35,40,1819046,,
New York,1997,0.00000437384070166523,36,83,18976457,,
North Carolina,1997,0.00011379853162623900,37,916,8049313,,
North Dakota,1997,0.00028028651510432900,38,180,642200,,
Ohio,1997,0.00000079273223090704,39,9,11353140,,
Oklahoma,1997,0.00005969882810620830,40,206,3450654,,
Oregon,1997,0.00001753668601645120,41,60,3421399,,
Pennsylvania,1997,0.00000008142623589148,42,1,12281054,,
Rhode Island,1997,0.00000000000000000000,44,0,1048319,,
South Carolina,1997,0.00005358907201673370,45,215,4012012,,
South Dakota,1997,0.00004239286528077320,46,32,754844,,
Tennessee,1997,0.00011073451610686300,47,630,5689283,,
Texas,1997,0.00000680995711645314,48,142,20851820,,
Utah,1997,0.00001074705944780710,49,24,2233169,,
Vermont,1997,0.00000000000000000000,50,0,608827,,
Virginia,1997,0.00002698306071259300,51,191,7078515,,
Washington,1997,0.00000373253280684261,53,22,5894121,,
West Virginia,1997,0.00010119755975633000,54,183,1808344,,
Wisconsin,1997,0.00001416938945778780,55,76,5363675,,
Wyoming,1997,0.00001620148162549460,56,8,493782,,
Alabama,1998,0.00041982415506734700,1,1867,4447100,,
Arizona,1998,0.00008614923073804550,4,442,5130632,,
Arkansas,1998,0.00015934764719084300,5,426,2673400,,
California,1998,0.00002471093228177150,6,837,33871648,,
Colorado,1998,0.00000162742972351596,8,7,4301261,,
Connecticut,1998,0.00000088091109698391,9,3,3405565,,
Delaware,1998,0.00000000000000000000,10,0,783600,,
District of Columbia,1998,0.00000000000000000000,11,0,572059,,
Florida,1998,0.00000719542486105635,12,115,15982378,,
Georgia,1998,0.00016527304316045100,13,1353,8186453,,
Idaho,1998,0.00000463695358332181,16,6,1293953,,
Illinois,1998,0.00000080519881445747,17,10,12419293,,
Indiana,1998,0.00000148014508711065,18,9,6080485,,
Iowa,1998,0.00000000000000000000,19,0,2926324,,
Kansas,1998,0.00000185982983300960,20,5,2688418,,
Kentucky,1998,0.00013904802575308000,21,562,4041769,,
Louisiana,1998,0.00010539327129973400,22,471,4468976,,
Maine,1998,0.00000156872218949693,23,2,1274923,,
Maryland,1998,0.00000151043540943939,24,8,5296486,,
Massachusetts,1998,0.00000000000000000000,25,0,6349097,,
Michigan,1998,0.00000160990996176061,26,16,9938444,,
Minnesota,1998,0.00012440341751636700,27,612,4919479,,
Mississippi,1998,0.00064823258191318600,28,1844,2844658,,
Missouri,1998,0.00004146403057900770,29,232,5595211,,
Montana,1998,0.00009975670448184710,30,90,902195,,
Nebraska,1998,0.00000000000000000000,31,0,1711263,,
Nevada,1998,0.00000800697808139794,32,16,1998257,,
